town,Total Requests,Number of Users,Standardized Distance (KM),Inferred Spending Power,Hitch Requests per User,Leasing Propensity,Total Value of Location
YISHUN,3262,484,1,0.963190695,0.803648755,0.901824377,0.932507536
BISHAN,1773,308,0.690238638,1,0.539362645,0.614800642,0.807400321
TAMPINES,2490,372,0.616880262,0.798566487,0.791251026,0.704065644,0.751316065
HOUGANG,2030,302,0.410476023,0.778144835,0.798859899,0.604667961,0.691406398
SENGKANG,1875,251,0.380382564,0.681847026,1,0.690191282,0.686019154
BUKIT MERAH,1419,260,0.528483289,0.774288764,0.459042323,0.493762806,0.634025785
PUNGGOL,1588,220,0.314396209,0.598378765,0.932276987,0.623336598,0.610857681
GEYLANG,1325,257,0.797741458,0.621018293,0.377848619,0.587795039,0.604406666
WOODLANDS,1355,230,0.79056259,0.522192172,0.575600955,0.683081772,0.602636972
BEDOK,1531,225,0.311033357,0.633178631,0.821060836,0.566047097,0.599612864
JURONG WEST,1868,308,0.61398232,0.558203645,0.622274379,0.61812835,0.588165998
CHOA CHU KANG,1192,178,0.678076915,0.372272656,0.792079178,0.735078047,0.553675351
PASIR RIS,1394,210,0.312655155,0.507223356,0.776344744,0.544499949,0.525861653
KALLANG/WHAMPOA,931,171,0.520678057,0.435553484,0.455481184,0.488079621,0.461816552
QUEENSTOWN,614,110,0.277164061,0.428374893,0.492408422,0.384786241,0.406580567
TOA PAYOH,733,118,0.443214966,0.241819984,0.661770245,0.552492606,0.397156295
SEMBAWANG,1031,161,0.227219115,0.320116886,0.713344475,0.470281795,0.395199341
BUKIT PANJANG,966,165,0.281092801,0.346196005,0.565719849,0.423406325,0.384801165
JURONG EAST,833,114,0.187700942,0.160607274,0.956156791,0.571928866,0.36626807
CENTRAL AREA,499,97,0.374811041,0.303039579,0.374807822,0.374809432,0.338924506
BUKIT BATOK,899,158,0.245637108,0.249519209,0.521454595,0.383545851,0.31653253
SERANGOON,435,69,0.09694835,0.174876766,0.68663058,0.391789465,0.283333116
ANG MO KIO,433,65,0.105580411,0.094075364,0.782646483,0.444113447,0.269094406
CLEMENTI,475,78,0.103899028,0.140309676,0.628943123,0.366421076,0.253365376
MARINE PARADE,274,52,0.137641445,0.146304963,0.408382247,0.273011846,0.209658404
BUKIT TIMAH,30,8,0,0,0,0,0
