Predicted Residential Area,Total Requests,Number of Users
SENGKANG CTRL,353,10
BEDOK CTRL,320,9
PUNGGOL RD,256,9
JURONG EAST ST 24,198,5
TAMPINES ST 22,186,6
YISHUN CTRL,162,6
TECK WHYE CRES,127,6
SEMBAWANG DR,126,5
JURONG WEST ST 93,126,6
PASIR RIS DR 3,102,5
BOON LAY DR,86,3
HOUGANG CTRL,83,3
KIM KEAT LINK,80,6
ANG MO KIO AVE 1,67,2
CLEMENTI ST 11,51,1
BISHAN ST 22,50,3
BT BATOK CTRL,47,2
YISHUN AVE 3,45,1
CHOA CHU KANG DR,44,4
CHOA CHU KANG LOOP,43,1
WOODLANDS DR 73,42,1
YISHUN ST 41,39,3
C'WEALTH CL,38,3
YISHUN ST 20,37,1
SENJA LINK,36,2
CHOA CHU KANG AVE 3,35,1
YISHUN ST 71,35,2
BRIGHT HILL DR,34,1
KLANG LANE,34,2
WHAMPOA STH,33,3
YISHUN ST 61,32,3
WOODLANDS DR 70,32,1
YISHUN ST 72,31,2
JLN BT MERAH,31,1
PASIR RIS DR 6,30,1
WOODLANDS DR 52,30,1
UPP SERANGOON RD,30,1
GHIM MOH RD,30,1
YISHUN ST 11,28,5
CLEMENTI AVE 4,26,1
CHOA CHU KANG AVE 4,26,1
BISHAN ST 23,24,1
BOON LAY PL,24,2
TAMPINES ST 44,23,2
BEDOK NTH AVE 4,23,1
MARSILING DR,23,1
YISHUN RING RD,21,1
POTONG PASIR AVE 1,21,1
WOODLANDS DR 50,20,1
LOR 3 GEYLANG,20,1
TAMPINES ST 82,17,1
OLD AIRPORT RD,17,3
PASIR RIS ST 72,17,1
UBI AVE 1,16,2
TAMPINES ST 33,16,3
EUNOS CRES,15,1
SERANGOON CTRL,15,2
TAMPINES AVE 4,14,1
ANG MO KIO AVE 4,13,1
BISHAN ST 24,12,2
JURONG WEST ST 42,11,2
CHOA CHU KANG NTH 6,11,2
BISHAN ST 12,11,3
BT MERAH VIEW,10,1
BOON LAY AVE,10,1
TOA PAYOH NTH,9,2
UPP ALJUNIED LANE,8,1
GEYLANG BAHRU,8,1
HOUGANG ST 52,8,1
BISHAN ST 13,8,2
WOODLANDS DR 40,7,1
PUNGGOL FIELD WALK,6,1
YISHUN ST 21,5,1
BUANGKOK LINK,5,1
CHOA CHU KANG ST 62,5,1
DAKOTA CRES,5,1
RIVERVALE CRES,5,1
JURONG WEST CTRL 1,4,1
BEDOK RESERVOIR VIEW,4,1
TAMPINES ST 84,4,1
CHAI CHEE ST,4,1
FERNVALE LANE,4,1
RIVERVALE WALK,3,1
YISHUN ST 81,3,1
MOH GUAN TER,3,1
BOON KENG RD,3,1
KALLANG BAHRU,3,1
BT BATOK WEST AVE 6,3,1
BT BATOK ST 34,3,1
JLN TECK WHYE,3,1
WOODLANDS DR 60,3,1
EDGEFIELD PLAINS,3,1
TIONG BAHRU RD,3,1
